"Line","Name","OriginName","Opened","Elev","Lat","Lon","X","Y"
"10","Verkhnie Likhobory","Верхние Лихоборы","22/03/2018","-65","55.855833","37.561111","430","135"
"10","Okruzhnaya","Окружная","22/03/2018","-65","55.846","37.57425","430","161"
"10","Petrovsko-Razumovskaya","Петровско-Разумовская","01/03/1991","-61","55.8351","37.5745","445","204"
"10","Fonvizinskaya","Фонвизинская","16/09/2016","-65","55.8228","37.5881","493","217"
"10","Butyrskaya","Бутырская","16/09/2016","-60","55.8133","37.6028","512","255"
"10","Maryina Roshcha","Марьина Роща","19/06/2010","-60","55.7954","37.6162","512","273"
"10","Dostoyevskaya","Достоевская","19/06/2010","-60","55.7816","37.6151","512","292"
"10","Trubnaya","Трубная","30/08/2007","-60","55.7688","37.62","512","378"
"10","Sretensky Bulvar","Сретенский бульвар","29/12/2007","-60","55.7668","37.6392","598","398"
"10","Chkalovskaya","Чкаловская","28/12/1995","-51","55.7565","37.6573","675","451"
"10","Rimskaya","Римская","28/12/1995","-54","55.7463","37.6819","746","520"
"10","Krestyanskaya Zastava","Крестьянская застава","28/12/1995","-47","55.7331","37.6673","738","621"
"10","Dubrovka","Дубровка","11/12/1999","-62","55.7186","37.676","708","731"
"10","Kozhukhovskaya","Кожуховская","28/12/1995","-12","55.7074","37.6851","708","783"
"10","Pechatniki","Печатники","28/12/1995","-4","55.6934","37.727","708","812"
"10","Volzhskaya","Волжская","28/12/1995","-8","55.6909","37.753","708","844"
"10","Lyublino","Люблино","25/12/1996","-8","55.6758","37.7618","708","874"
"10","Bratislavskaya","Братиславская","25/12/1996","-8","55.6597","37.7505","708","905"
"10","Maryino","Марьино","25/12/1996","-8","55.65","37.7431","708","935"
"10","Borisovo","Борисово","02/12/2011","-10","55.6334","37.7436","708","965"
"10","Shipilovskaya","Шипиловская","02/12/2011","-10","55.6211","37.7437","708","998"
"10","Zyablikovo","Зябликово","02/12/2011","-15","55.6124","37.7453","708","1034"
"11","Delovoy Tsentr","Деловой центр","26/02/2018","-30","55.7472","37.5322","222","524"
"11","Shelepikha","Шелепиха","26/02/2018","-18","55.756902","37.524003","202","458"
"11","Khoroshyovskaya","Хорошёвская","26/02/2018","-21","55.776862","37.520797","238","397"
"11","CSKA (Moscow Metro)","ЦСКА","26/02/2018","-28","55.786977","37.533393","293","343"
"11","Petrovsky Park","Петровский парк","26/02/2018","-25","55.791957","37.557322","320","314"
"11A","Kashirskaya","Каширская","11/08/1969","-7","55.6551","37.6487","596","903"
"11A","Varshavskaya","Варшавская","11/08/1969","-9","55.6533","37.6194","531","918"
"11A","Kakhovskaya","Каховская","11/08/1969","-8","55.653","37.5983","451","918"
"12","Bittsevsky Park","Битцевский парк","27/02/2014","-10","55.6004","37.5562","349","1015"
"12","Lesoparkovaya","Лесопарковая","27/02/2014","-10","55.5821","37.5769","401","1015"
"12","Ulitsa Starokachalovskaya","Улица Старокачаловская","27/12/2003","-10","55.569","37.5767","446","1051"
"12","Ulitsa Skobelevskaya","Улица Скобелевская","27/12/2003","9.6","55.5481","37.5546","408","1075"
"12","Bulvar Admirala Ushakova","Бульвар Адмирала Ушакова","27/12/2003","9.6","55.5455","37.543","350","1075"
"12","Ulitsa Gorchakova","Улица Горчакова","27/12/2003","9.6","55.5418","37.5308","287","1075"
"12","Buninskaya Alleya","Бунинская аллея","27/12/2003","9.6","55.538","37.5158","222","1075"
"13","Timiryazevskaya","Тимирязевская","20/11/2004","6","55.819","37.5789","429","228"
"13","Ulitsa Milashenkova","Улица Милашенкова","20/11/2004","6","55.8218","37.5911","482","228"
"13","Teletsentr","Телецентр","20/11/2004","6","55.8218","37.6089","525","228"
"13","Ulitsa Akademika Korolyova","Улица Академика Королёва","20/11/2004","12","55.8218","37.6269","566","228"
"13","Vystavochny Tsentr","Выставочный центр","20/11/2004","6","55.824","37.6383","610","228"
"13","Ulitsa Sergeya Eyzenshteyna","Улица Сергея Эйзенштейна","20/11/2004","6","55.8292","37.5919","632","218"
"14","Okruzhnaya","Окружная","10/09/2016","0","55.8472","37.5694","448","176"
"14","Vladykino","Владыкино","10/09/2016","0","55.8476","37.593","481","172"
