"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"137","7","Lermontovsky Prospekt","Лермонтовский проспект","2013-11-09",-12,55.8148,37.7342
"138","7","Zhulebino","Жулебино","2013-11-09",-15,55.8148,37.7342
"139","7","Kotelniki","Котельники","2015-09-21",-15,55.8148,37.7342
"140","8A","Ramenki","Раменки","2017-03-16",-15,55.8148,37.7342
"141","8A","Lomonosovsky Prospekt","Ломоносовский проспект","2017-03-16",-15,55.8148,37.7342
"142","8A","Minskaya","Минская","2017-03-16",-15,55.8148,37.7342
"143","8A","Park Pobedy","Парк Победы","2003-05-06",-73.6,55.8148,37.7342
"144","8","Tretyakovskaya","Третьяковская","1986-01-25",-46,55.8148,37.7342
"145","8","Marksistskaya","Марксистская","1979-12-30",-60,55.8148,37.7342
"146","8","Ploshchad Ilyicha","Площадь Ильича","1979-12-30",-46,55.8148,37.7342
"147","8","Aviamotornaya","Авиамоторная","1979-12-30",-53,55.8148,37.7342
"148","8","Shosse Entuziastov","Шоссе Энтузиастов","1979-12-30",-53,55.8148,37.7342
"149","8","Perovo","Перово","1979-12-30",-9,55.8148,37.7342
"150","8","Novogireyevo","Новогиреево","1979-12-30",-9,55.8148,37.7342
"151","8","Novokosino","Новокосино","2012-08-30",-9,55.8148,37.7342
"152","9","Altufyevo","Алтуфьево","1994-07-15",-9,55.8148,37.7342
"153","9","Bibirevo","Бибирево","1992-12-31",-9.5,55.8148,37.7342
"154","9","Otradnoye","Отрадное","1991-03-01",-9,55.8148,37.7342
"155","9","Vladykino","Владыкино","1991-03-01",-10.5,55.8148,37.7342
"156","9","Petrovsko-Razumovskaya","Петровско-Разумовская","1991-03-01",-61,55.8148,37.7342
"157","9","Timiryazevskaya","Тимирязевская","1991-03-01",-63.5,55.8148,37.7342
"158","9","Dmitrovskaya","Дмитровская","1991-03-01",-59,55.8148,37.7342
"159","9","Savyolovskaya","Савёловская","1988-12-31",-52,55.8148,37.7342
"160","9","Mendeleyevskaya","Менделеевская","1988-12-31",-48.5,55.8148,37.7342
"161","9","Tsvetnoy Bulvar","Цветной бульвар","1988-12-31",-50,55.8148,37.7342
"162","9","Chekhovskaya","Чеховская","1987-12-31",-62,55.8148,37.7342
"163","9","Borovitskaya","Боровицкая","1986-01-23",-46.5,55.8148,37.7342
"164","9","Polyanka","Полянка","1986-01-23",-36.5,55.8148,37.7342
"165","9","Serpukhovskaya","Серпуховская","1983-11-08",-43,55.8148,37.7342
"166","9","Tulskaya","Тульская","1983-11-08",-9.5,55.8148,37.7342
"167","9","Nagatinskaya","Нагатинская","1983-11-08",-13.5,55.8148,37.7342
"168","9","Nagornaya","Нагорная","1983-11-08",-9,55.8148,37.7342
"169","9","Nakhimovsky Prospekt","Нахимовский проспект","1983-11-08",-9.5,55.8148,37.7342
"170","9","Sevastopolskaya","Севастопольская","1983-11-08",-13,55.8148,37.7342
"171","9","Chertanovskaya","Чертановская","1983-11-08",-10.5,55.8148,37.7342
"172","9","Yuzhnaya","Южная","1983-11-08",-10,55.8148,37.7342
"173","9","Prazhskaya","Пражская","1985-11-06",-9.5,55.8148,37.7342
"174","9","Ulitsa Akademika Yangelya","Улица академика Янгеля","2000-08-31",-8,55.8148,37.7342
"175","9","Annino","Аннино","2001-12-12",-8,55.8148,37.7342
"176","9","Bulvar Dmitriya Donskogo","Бульвар Дмитрия Донского","2002-12-26",-10,55.8148,37.7342
"177","10","Seligerskaya","Селигерская","2018-03-22",-20,55.8148,37.7342
"178","10","Verkhnie Likhobory","Верхние Лихоборы","2018-03-22",NA,55.8148,37.7342
"179","10","Okruzhnaya","Окружная","2018-03-22",NA,55.8148,37.7342
